Filename	Lambda
MVP_R4.1000G_AGR.Phe_244_2.AMR.GIA.dbGaP.txt.gz	1.065
MVP_R4.1000G_AGR.Phe_251_1.EUR.GIA.dbGaP.txt.gz	1.064
MVP_R4.1000G_AGR.Phe_764.EUR.GIA.dbGaP.txt.gz	1.064
MVP_R4.1000G_AGR.Phe_465_2.EUR.GIA.dbGaP.txt.gz	1.063
MVP_R4.1000G_AGR.Phe_250.AMR.GIA.dbGaP.txt.gz	1.062
MVP_R4.1000G_AGR.Phe_260_2.EUR.GIA.dbGaP.txt.gz	1.062
MVP_R4.1000G_AGR.Phe_259_3.EUR.GIA.dbGaP.txt.gz	1.062
MVP_R4.1000G_AGR.Phe_208.AFR.GIA.dbGaP.txt.gz	1.061
MVP_R4.1000G_AGR.Phe_564.EUR.GIA.dbGaP.txt.gz	1.06
MVP_R4.1000G_AGR.Phe_250_14.EUR.GIA.dbGaP.txt.gz	1.06
MVP_R4.1000G_AGR.Phe_578_8.EUR.GIA.dbGaP.txt.gz	1.059
MVP_R4.1000G_AGR.Phe_272_1.AFR.GIA.dbGaP.txt.gz	1.059
MVP_R4.1000G_AGR.Phe_242.EUR.GIA.dbGaP.txt.gz	1.058
MVP_R4.1000G_AGR.Phe_274_1.AFR.GIA.dbGaP.txt.gz	1.058
MVP_R4.1000G_AGR.Phe_272.AFR.GIA.dbGaP.txt.gz	1.058
MVP_R4.1000G_AGR.Phe_256_4.EUR.GIA.dbGaP.txt.gz	1.057
MVP_R4.1000G_AGR.Phe_256.EUR.GIA.dbGaP.txt.gz	1.057
MVP_R4.1000G_AGR.Phe_250_21.EUR.GIA.dbGaP.txt.gz	1.057
MVP_R4.1000G_AGR.Phe_585_4.AMR.GIA.dbGaP.txt.gz	1.056
MVP_R4.1000G_AGR.Phe_240.EUR.GIA.dbGaP.txt.gz	1.056
MVP_R4.1000G_AGR.Phe_585_3.AFR.GIA.dbGaP.txt.gz	1.056
MVP_R4.1000G_AGR.Phe_367_1.AFR.GIA.dbGaP.txt.gz	1.056
MVP_R4.1000G_AGR.Phe_274.AFR.GIA.dbGaP.txt.gz	1.056
MVP_R4.1000G_AGR.Phe_740_9.AFR.GIA.dbGaP.txt.gz	1.056
MVP_R4.1000G_AGR.Phe_250_41.EUR.GIA.dbGaP.txt.gz	1.055
MVP_R4.1000G_AGR.Phe_401_2.AFR.GIA.dbGaP.txt.gz	1.055
MVP_R4.1000G_AGR.Phe_250_22.AFR.GIA.dbGaP.txt.gz	1.055
MVP_R4.1000G_AGR.Phe_367_8.AFR.GIA.dbGaP.txt.gz	1.055
MVP_R4.1000G_AGR.Phe_401_1.AFR.GIA.dbGaP.txt.gz	1.055
MVP_R4.1000G_AGR.Phe_496.AFR.GIA.dbGaP.txt.gz	1.055
MVP_R4.1000G_AGR.Phe_245.EUR.GIA.dbGaP.txt.gz	1.055
MVP_R4.1000G_AGR.Phe_250_25.AMR.GIA.dbGaP.txt.gz	1.055
MVP_R4.1000G_AGR.Phe_278_1.AMR.GIA.dbGaP.txt.gz	1.054
MVP_R4.1000G_AGR.Phe_250_2.AMR.GIA.dbGaP.txt.gz	1.054
MVP_R4.1000G_AGR.Phe_110.AFR.GIA.dbGaP.txt.gz	1.054
MVP_R4.1000G_AGR.Phe_411_4.AFR.GIA.dbGaP.txt.gz	1.053
